"","sp","lon","lat"
"91","Agalychnis_granulosa",-36.4,-8.2
"92","Agalychnis_granulosa",-35,-7.833333
"93","Agalychnis_granulosa",-34.983333,-8.116667
"94","Agalychnis_granulosa",-35.833333,-8.716667
"96","Agalychnis_granulosa",-35.73016667,-9.39175
"97","Agalychnis_granulosa",-35.844306,-9.247247
"98","Agalychnis_granulosa",-35.616667,-8.566667
"99","Agalychnis_granulosa",-34.93303,-8.040889
"100","Agalychnis_granulosa",-34.95,-8
"101","Agalychnis_granulosa",-34.982644,-7.960886
"102","Agalychnis_granulosa",-35.366667,-7.583333
"103","Agalychnis_granulosa",-35.366667,-7.6
"370","Aparasphenodon_brunoi",-44.2,-22.933333
"371","Aparasphenodon_brunoi",-40.17586,-19.766469
"372","Aparasphenodon_brunoi",-41.683333,-22.283333
"373","Aparasphenodon_brunoi",-40.45,-20.583333
"374","Aparasphenodon_brunoi",-40.007791,-18.108921
"375","Aparasphenodon_brunoi",-40.027948,-19.380555
"376","Aparasphenodon_brunoi",-43.028889,-22.575833
"377","Aparasphenodon_brunoi",-43.991818,-23.066697
"378","Aparasphenodon_brunoi",-43.9462184,-23.0574174
"379","Aparasphenodon_brunoi",-42.81014,-22.919725
"381","Aparasphenodon_brunoi",-42.551706,-19.678756
"383","Aparasphenodon_brunoi",-40.966667,-21.25
"384","Aparasphenodon_brunoi",-43.533333,-23.05
"385","Aparasphenodon_brunoi",-43.449881,-22.921177
"386","Aparasphenodon_brunoi",-43.2075,-22.903056
"387","Aparasphenodon_brunoi",-40.097778,-19.196944
"388","Aparasphenodon_brunoi",-45.120381,-23.496295
"390","Aparasphenodon_brunoi",-39.083333,-15.3
"391","Aparasphenodon_brunoi",-40.292222,-20.329722
"392","Aparasphenodon_brunoi",-40.3,-20.266667
"437","Aplastodiscus_ehrhardti",-48.980556,-27.691944
"438","Aplastodiscus_ehrhardti",-49.084722,-27.999722
"439","Aplastodiscus_ehrhardti",-49.133056,-27.899722
"440","Aplastodiscus_ehrhardti",-49.091111,-27.0725
"441","Aplastodiscus_ehrhardti",-49.252778,-26.181389
"442","Aplastodiscus_ehrhardti",-49.243056,-26.425833
"443","Aplastodiscus_ehrhardti",-48.902222,-25.874167
"444","Aplastodiscus_ehrhardti",-49.03,-26.191111
"445","Aplastodiscus_ehrhardti",-45.461667,-22.808333
"446","Aplastodiscus_ehrhardti",-48.816667,-27.716667
"447","Aplastodiscus_ehrhardti",-48.778333,-27.688056
"448","Aplastodiscus_ehrhardti",-49.311944,-26.312222
"449","Aplastodiscus_ehrhardti",-49.059722,-25.6875
"473","Aplastodiscus_perviridis",-52.45,-26.566667
"474","Aplastodiscus_perviridis",-48.916667,-27.733333
"475","Aplastodiscus_perviridis",-51.13,-27.689167
"476","Aplastodiscus_perviridis",-49.084722,-27.999722
"477","Aplastodiscus_perviridis",-46.549722,-23.110278
"478","Aplastodiscus_perviridis",-48.445,-22.886667
"480","Aplastodiscus_perviridis",-48.439722,-22.88
"482","Aplastodiscus_perviridis",-47.13,-23.3
"483","Aplastodiscus_perviridis",-51.3175,-26.745556
"484","Aplastodiscus_perviridis",-45.7478,-23.0094
"485","Aplastodiscus_perviridis",-46.144444,-22.755556
"487","Aplastodiscus_perviridis",-49.252778,-26.181389
"488","Aplastodiscus_perviridis",-50.760833,-27.899167
"489","Aplastodiscus_perviridis",-45.59,-22.73
"490","Aplastodiscus_perviridis",-45.53158,-22.699226
"491","Aplastodiscus_perviridis",-45.458441,-22.673752
"492","Aplastodiscus_perviridis",-51.169444,-27.575
"493","Aplastodiscus_perviridis",-52.0558,-25.5722
"494","Aplastodiscus_perviridis",-50.399722,-26.166667
"495","Aplastodiscus_perviridis",-51.6119,-27.3436
"496","Aplastodiscus_perviridis",-52.619389,-27.185667
"497","Aplastodiscus_perviridis",-44.9628,-22.5761
"498","Aplastodiscus_perviridis",-45.0497,-22.5558
"499","Aplastodiscus_perviridis",-50.4031,-23.8492
"500","Aplastodiscus_perviridis",-51.3156,-26.4275
"501","Aplastodiscus_perviridis",-48.53,-24.18
"502","Aplastodiscus_perviridis",-51.458056,-25.395556
"503","Aplastodiscus_perviridis",-52.779722,-27.088889
