"","sp","lon","lat"
"2","Aburria jacutinga",-45.4167,-23.8
"3","Aburria jacutinga",-47.98,-24.1756
"18","Aburria jacutinga",-54.44626,-25.68337
"39","Aburria jacutinga",-48.3615,-24.0793
"44","Aburria jacutinga",-43.3246,-22.484
"45","Aburria jacutinga",-47.9773,-24.1367
"46","Aburria jacutinga",-48.4128,-24.2682
"63","Aburria jacutinga",-40.1997,-4.49702
"68","Aburria jacutinga",-57.2058,-18.6254
"106","Aburria jacutinga",-45.5717,-22.7175
"109","Aburria jacutinga",-48.4059,-24.1647
"116","Aburria jacutinga",-43.76953,-20.7972
"117","Aburria jacutinga",-51.64228,-14.24081
"118","Aburria jacutinga",-48.4181,-24.3013
"121","Aburria jacutinga",-45.173,-23.4736
"123","Aburria jacutinga",-54.4384,-25.6808
"125","Aburria jacutinga",-42.7119,-22.4878
"132","Aburria jacutinga",-45.1442,-23.3548
"134","Aburria jacutinga",-47.9226,-25.0762
"179","Aburria jacutinga",-56.286,-19.5682
"687","Accipiter poliogaster",-55.9311,-9.59726
"691","Accipiter poliogaster",-60.1416,-2.60904
"693","Accipiter poliogaster",-48.4128,-24.2634
"695","Accipiter poliogaster",-48.4128,-24.2682
"709","Accipiter poliogaster",-42.8957,-20.2498
"710","Accipiter poliogaster",-59.5825,-4.39827
"711","Accipiter poliogaster",-48.9138,-25.3311
"714","Accipiter poliogaster",-55.9143,-9.56726
"729","Accipiter poliogaster",-46.558,-23.78723
"730","Accipiter poliogaster",-48.4181,-24.3013
"735","Accipiter poliogaster",-45.4899,-22.6913
"742","Accipiter poliogaster",-56.1509,-19.5772
"744","Accipiter poliogaster",-37.0784,-10.9222
"754","Accipiter poliogaster",-60.9424,-2.67942
"2904","Amaurospiza moesta",-54.45,-25.68
"2931","Amaurospiza moesta",-41.0793,-20.6723
"2932","Amaurospiza moesta",-44.5798,-22.4516
"2933","Amaurospiza moesta",-44.65,-22.5833
"2938","Amaurospiza moesta",-48.4118,-24.2673
